Price,Close,High,Low,Open,Volume,MA10,MA50
Ticker,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,,
Date,,,,,,,
2010-03-17,19.279491424560547,19.627198422981298,16.348374148314196,16.348374148314196,60062999,18.81740493774414,18.31139835357666
2010-03-18,19.496044158935547,19.570771133422934,19.218488220815022,19.36794094856125,42724073,18.88343906402588,18.314722862243652
2010-03-19,19.650074005126953,19.688199541260833,19.409118272001905,19.535696175496703,36154030,18.963198471069337,18.31176429748535
2010-03-22,19.186464309692383,19.63329968632077,19.113262638943027,19.403019913824785,40374830,18.985463905334473,18.303834075927735
2010-03-23,19.457923889160156,19.528074939278937,19.17274252287117,19.27644439380212,39673429,19.056378746032713,18.296605529785158
2010-03-25,19.465547561645508,19.547898681089894,19.049212356547372,19.428946114270072,44968051,19.135680961608887,18.29035285949707
2010-03-26,19.6455020904541,19.825455037517894,19.407595731179498,19.520448262398318,38550348,19.244874000549316,18.28766887664795
2010-03-29,19.628721237182617,19.85137683650575,19.410641581007358,19.514343419370043,26806599,19.35467586517334,18.298649024963378
2010-03-30,19.36031723022461,19.82545269039929,19.27949143358214,19.672949320894244,31669916,19.430012702941895,18.295903930664064
2010-03-31,19.27796745300293,19.50824722715873,19.0964879788793,19.367943922108786,41394419,19.444805335998534,18.28635715484619
2010-04-01,19.892553329467773,19.947454881701134,19.374041654711455,19.39844302305327,44671662,19.506111526489256,18.290657730102538
2010-04-05,20.694721221923828,20.73437206970409,19.98405536950838,19.98405536950838,63183830,19.625979232788087,18.315668258666992
2010-04-06,20.972280502319336,21.194934922691413,20.526971661575182,20.786226306708947,61411294,19.758199882507324,18.346138496398925
2010-04-07,20.912803649902344,21.130883341529287,20.664222550578454,21.04548281941816,41024579,19.93083381652832,18.365628395080567
2010-04-08,20.47359275817871,22.54001419175989,20.380565666909575,20.740475179151368,40836594,20.032400703430177,18.379811210632326
2010-04-09,20.62457275390625,20.923480702748115,20.472069371296648,20.557471119010575,33147239,20.14830322265625,18.411318473815918
2010-04-12,20.870100021362305,20.996677919338662,20.45071669971635,20.67947112777518,43082241,20.27076301574707,18.45667293548584
2010-04-13,21.104957580566406,21.15223378211246,20.604744788645036,20.815199113206702,54701968,20.41838665008545,18.53737777709961
2010-04-15,20.92652702331543,21.390137113291264,20.682520684398884,21.225432468154047,55101659,20.57500762939453,18.598806190490723
2010-04-16,21.219337463378906,21.298639171398403,20.618473394558514,20.86247733483373,45323836,20.76914463043213,18.67603401184082
2010-04-19,20.429370880126953,20.984482899033058,20.205189899049774,20.82282883537785,66863514,20.822826385498047,18.73090488433838
2010-04-20,20.46139144897461,20.892976064979287,20.298212109848265,20.526968980256886,46050616,20.799493408203126,18.79041172027588
2010-04-21,20.400390625,20.73437344566653,20.304314128031372,20.530017935488292,32931293,20.742304420471193,18.832167167663574
2010-04-22,19.98710823059082,20.540696101965267,19.8163047369835,20.286014955018,68764396,20.649734878540038,18.87950428009033
2010-04-23,19.77512550354004,20.212810151358315,19.613471480677944,20.00845587232509,67122977,20.579888153076173,18.93937713623047
2010-04-26,20.03438377380371,20.273814208352654,19.825453525949754,19.825453525949754,44468700,20.520869255065918,19.01440891265869
2010-04-27,19.749204635620117,20.06031145927571,19.714128501115034,19.981009743858184,38305192,20.4087797164917,19.083920097351076
2010-04-28,19.04311180114746,19.64245056314276,18.982110204665982,19.64245056314276,53504292,20.202595138549803,19.14608055114746
2010-04-29,19.296268463134766,19.538749544807022,19.102588904993546,19.15443983680408,54895600,20.039569282531737,19.206289024353026
2010-04-30,18.87535858154297,19.642451463725436,18.757931327261613,19.535698970295552,78450945,19.805171394348143,19.25444965362549
2010-05-03,18.51544761657715,18.84485571742804,18.422420526721115,18.60542529857797,57489202,19.613779067993164,19.289189949035645
2010-05-04,17.624828338623047,19.210864879082603,17.450974225194752,18.51392433198955,91443465,19.33012275695801,19.28522491455078
2010-05-05,17.47995376586914,17.611106423500956,16.94924187570421,17.385401338689917,123134542,19.038079071044923,19.282754440307617
2010-05-06,17.565351486206055,17.687353447559648,17.11699082826071,17.476899117772508,84530421,18.795903396606445,19.291996192932128
2010-05-07,17.030059814453125,17.354891899725597,16.850105711541243,17.080386634588162,74479700,18.521396827697753,19.283211936950682
2010-05-10,18.344642639160156,18.483420605320642,17.20239097080198,18.266866258628443,80316843,18.3524227142334,19.299041786193847
2010-05-11,17.7529296875,18.568822705776352,17.659902603404994,18.452920789883727,95626856,18.152795219421385,19.308039512634277
2010-05-12,17.826133728027344,17.934410307370875,17.44639998992764,17.75140674363684,67048728,18.031097412109375,19.317311744689942
2010-05-13,17.54094886779785,18.106736684966418,17.432671089036166,17.8429049313813,58111504,17.855565452575682,19.317769241333007
2010-05-14,16.712858200073242,17.507401817668647,16.638131214689277,17.507401817668647,85005442,17.63931541442871,19.280588912963868
2010-05-17,16.359046936035156,16.494775492448365,15.951862488024023,16.243143803046355,115249760,17.423675346374512,19.236759452819825
